"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2001-04-27" 0 3.18366514327686e-05 -2.06491647121212e-05 0.000247663783520678 0 8.61920644066477e-05 0 7.86447199302724e-05 -6.06185939016254e-06 0 -0.000163363914768323
"2001-05-04" 0 2.31721510899828e-05 -0.000154505475616523 2.15648714771699e-05 0 -6.31394146662144e-05 0 3.94783446280698e-05 4.69864030938959e-05 0 0.000244769177620209
"2001-05-11" 0 -5.21188534960313e-05 9.38162515755725e-06 2.41851430831708e-05 0 1.61430169025433e-05 0 -0.000100240586891081 4.86665392118637e-05 0 1.93787684292531e-05
"2001-05-18" 0 -5.33176318936698e-05 -0.000123045835003395 3.03904636373201e-05 0 3.49168416383299e-05 0 0.000139803453974493 -1.78158574548528e-05 0 0.000192254338854927
"2001-05-25" 0 4.98448778266918e-06 0.000131961457590811 6.73090470206307e-06 0 -2.65361697545793e-05 0 -5.41830266985556e-05 0.000172036385693185 0 -0.000220998223057901
"2001-06-01" 0 -0.000549756500165736 -5.7799153897205e-05 -1.73737510267391e-05 0 0.000168763403607768 0 -7.50069294696563e-06 -2.18165703711369e-05 0 0.001071598646224
"2001-06-08" 0 -8.79441826953116e-06 -2.52292164359191e-06 -1.26742478518602e-05 0 0.000192700149177871 0 -2.05270523689972e-05 0.000157373165548664 0 -5.75566689584398e-05
"2001-06-15" 0 -3.63177714554541e-05 5.13430788872774e-05 -5.62032600934068e-05 0 -1.22890649121041e-05 0 7.71626403856912e-05 -0.000268709975943889 0 4.00872115000487e-06
"2001-06-22" 0 0.000358513872522218 -6.27065475235875e-05 0.000196521694243109 0 2.72618811021791e-05 0 -1.12471943037949e-05 -0.000298789768141834 0 3.2647468893899e-07
"2001-06-29" 0 -1.05636274505032e-05 -1.59220338782175e-05 0.000222930683370984 0 3.58751715031992e-06 0 0.000115134356490963 -3.56614167977706e-05 0 -0.000147925148960926
"2001-07-06" 0 2.24811498152941e-06 6.95856947593422e-05 6.60913245277642e-05 0 -9.24555665110493e-06 0 0.000449099932770452 1.84283226223971e-05 0 1.53344022700653e-05
"2001-07-13" 0 -2.22079053043041e-06 0.000105883041742853 -7.20881523305348e-06 0 5.51795821452735e-06 0 0.000233812201201121 1.4716196963064e-06 0 0.000125381778512179
"2001-07-20" 0 1.06380781149794e-05 1.58062494932851e-05 -1.49667818395776e-05 0 -2.49385731767892e-05 0 3.71322445456285e-05 1.27534268241631e-05 0 6.0786244219621e-05
"2001-07-27" 0 -2.62238610973985e-05 -2.92930312320024e-06 4.00940854414397e-05 0 2.96871656293932e-05 0 1.39524318344214e-05 4.25559126200834e-05 0 1.90649708366274e-05
"2001-08-03" 0 0.00010560244247272 -4.24344049772829e-05 0.000141764253241837 0 0.000140744232318483 0 -0.000214440289660464 -9.14229609267362e-05 0 9.93000330461269e-05
"2001-08-10" 0 1.29684809624225e-05 -2.90053465539744e-05 -1.48259881062445e-05 0 -6.93514251975424e-05 0 -3.36586317502093e-05 5.85755494626017e-05 0 -5.76682961396015e-05
"2001-08-17" 0 -2.60719839849724e-06 -1.27634439592443e-06 -1.40769821613437e-05 0 -8.45435438456355e-05 0 -4.2809938215373e-05 -3.27913183034098e-05 0 -4.41752210620541e-05
"2001-08-24" 0 -2.9610606404176e-06 7.05210463688992e-07 -4.94359521433487e-05 0 -0.000330859256012276 0 2.86598340771436e-06 -9.42872869975109e-05 0 0.000321531975116216
"2001-08-31" 0 0.000574148417920497 0.000204735723678076 -0.00011016740787059 0 -0.000523978913651218 0 0.000582515792022871 -0.00158731906903172 0 -0.000102682122251126
"2001-09-07" 0 -7.45864120401882e-05 -0.00026417582746665 -3.94881887266766e-05 0 -0.000292508427442937 0 0.00029549845578365 0.00100263130003713 0 -0.000273563357012371
"2001-09-14" 0 5.20871005935158e-05 0.000104367295387536 -0.000271704943144395 0 0.000232305883765739 0 -0.000120517474235879 0.000197032000920486 0 0.00075399635432802
"2001-09-21" 0 0.000387316543405896 -7.20251480768963e-05 0.000294861303966573 0 6.72987010177143e-05 0 -7.59350991685034e-05 7.86148058748883e-06 0 0.00086566156763392
"2001-09-28" 0 -0.00105126463628766 -9.90204458810902e-05 0.000174629361178499 0 3.15673152137056e-05 0 1.89574512192319e-06 -0.000266000293771115 0 0.00129623303297787
"2001-10-05" 0 -4.91032965758665e-06 -2.88415793356774e-05 3.07259524493517e-05 0 -7.35348558330455e-05 0 -6.96890005497822e-05 -1.15581633826137e-06 0 -0.000239194225391298
"2001-10-12" 0 -7.88284952806532e-07 7.16906493090574e-05 -2.37495142459227e-05 0 -0.000228142872683734 0 9.0744689090715e-05 4.85410809208995e-05 0 -4.65765592411997e-05
"2001-10-19" 0 6.37527669572847e-05 -1.89533625238893e-05 1.66549492598748e-06 0 -6.50405692860579e-05 0 -9.10162776751488e-06 -0.00011026300343436 0 -5.88140030777929e-05
"2001-10-26" 0 -0.000124625375601784 0.000202267140314414 6.70370316899915e-06 0 8.95433429630746e-05 0 -6.61901679771469e-05 -0.000357182080142066 0 0.00014537696417362
"2001-11-02" 0 7.28263381938482e-06 0.000295372515013093 6.87374323570871e-06 0 -0.00019823464977787 0 -0.000455151001749218 -0.000219084381300795 0 0.000185873161960358
"2001-11-09" 0 1.25186303934968e-05 0.0015208875799199 1.59668383700493e-06 0 0.000407258387930987 0 -0.000660373601355918 -0.000146982764451662 0 -0.000309950768182679
"2001-11-16" 0 -0.000460329440065091 5.12722213475624e-05 -0.000150429221581567 0 0.000198868527911418 0 0.000332178619739391 -8.19898960455236e-05 0 -0.000196984755642225
"2001-11-23" 0 -2.6640454425218e-05 -1.45793094233667e-05 2.27210125296063e-05 0 -7.62638688533476e-05 0 -5.66584750834856e-06 -2.85702098679235e-05 0 0.000279982174557164
"2001-11-30" 0 -2.53815734337783e-05 -0.000119197111436549 -1.17765881514779e-05 0 -4.86747680347286e-06 0 1.1514366727621e-05 7.2045697197398e-06 0 -1.16627487458183e-05
"2001-12-07" 0 -2.38393278969763e-05 4.02535062516672e-05 2.35433678692554e-06 0 -0.000174423403239837 0 -1.57588416519978e-05 -1.9806192200479e-05 0 0.000498400516018192
"2001-12-14" 0 1.69098223425243e-05 1.58269945270393e-05 7.04211865651859e-05 0 -3.72545202826135e-05 0 2.40522854827931e-05 -4.34487779207778e-06 0 -9.35342930021417e-05
"2001-12-21" 0 0.000160327451955115 -1.12892954974539e-05 -1.98583662173436e-05 0 -9.19977182055944e-05 0 -2.12790534105886e-06 0.000284065132288085 0 6.32641423134196e-05
"2001-12-28" 0 1.16687162597539e-05 -9.70824225676662e-05 -3.6277666293813e-05 0 -2.03616250017146e-05 0 7.68991488419097e-05 0.000252870989970371 0 0.000191394549944577
