"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2001-04-27" 0 3.52774346174829e-05 -1.64574874249655e-07 4.64736714537496e-07 0 2.46464661775001e-05 0 -3.37752688703628e-05 1.12533027723652e-06 0 1.55809164761017e-05
"2001-05-04" 0 -1.13109591046669e-05 5.78091802432117e-07 -4.15369511453232e-07 0 7.00392728970897e-06 0 2.62670976418444e-06 -2.57690728986429e-06 0 1.9075509099345e-05
"2001-05-11" 0 -1.14521640455783e-05 3.85641960460624e-07 -1.06036644804366e-05 0 -2.10887761319318e-06 0 -1.0521411606933e-05 -2.98756346821567e-05 0 -2.38092605654149e-05
"2001-05-18" 0 6.13598937224727e-06 5.97577973068056e-07 1.5392327626129e-05 0 8.58632569435683e-07 0 7.41326178620753e-05 4.37254005186448e-05 0 7.15602921349024e-05
"2001-05-25" 0 4.86310811998081e-06 1.27954131826258e-06 1.05610730822544e-06 0 1.91676265731279e-06 0 -3.21050584897247e-05 2.28174434422612e-06 0 -6.83506449417432e-05
"2001-06-01" 0 -8.33834320399875e-06 1.01731726928444e-06 0 0 1.05049730212658e-05 0 -1.7333726645818e-05 -3.85888757714218e-05 0 3.12614436277239e-05
"2001-06-08" 0 5.97423458792533e-06 6.60146671170174e-07 0 0 8.95961380818173e-06 0 1.44986347260943e-05 9.5182368201451e-06 0 4.40479638552935e-05
"2001-06-15" 0 4.76690809366604e-05 2.76258361971789e-07 0 0 -2.44479550874148e-06 0 9.28413627241803e-06 -6.70842944957849e-06 0 -5.46667848162951e-05
"2001-06-22" 0 3.42527062343396e-05 1.37994274163927e-07 0 0 5.44493297824919e-07 0 -9.75755775742164e-06 2.15338463799642e-06 0 -5.12050221014298e-05
"2001-06-29" 0 1.62396304004337e-05 -1.1339111263515e-07 0 0 9.11521886774816e-07 0 -1.99403500817704e-05 2.45697480974826e-05 0 9.02004545168391e-06
"2001-07-06" 0 7.34180474964414e-06 -8.73488173284407e-07 0 0 2.50810126305581e-07 0 1.46689860750154e-05 1.70422237950109e-05 0 5.53904245572656e-06
"2001-07-13" 0 2.98065843173701e-06 3.35209790210015e-06 0 0 6.08131822392743e-09 0 2.30129866296336e-05 -1.59320075098287e-06 0 4.77582228869507e-05
"2001-07-20" 0 -9.04901025165793e-07 -5.21036079051483e-08 0 0 6.62828374235744e-08 0 1.73854047364057e-06 1.00413791644798e-06 0 -8.57316333838869e-06
"2001-07-27" 0 -1.53859662405051e-06 4.36643270497565e-08 0 0 9.62496895741492e-07 0 -7.8597483217591e-07 5.73098611448717e-06 0 3.35008617726238e-05
"2001-08-03" 0 -1.7984336730091e-07 -2.59059765165459e-06 0 0 -3.8686173985732e-06 0 -1.32504707521841e-06 -1.45670291567539e-05 0 4.29126119368526e-05
"2001-08-10" 0 -1.15583482440384e-06 -9.92613176631772e-07 0 0 -1.84895750537187e-06 0 -9.31377456005147e-06 -1.62948819731054e-05 0 7.74441277102923e-05
"2001-08-17" 0 -5.86380483452533e-06 7.83993675647032e-07 0 0 -1.05560368775201e-06 0 2.6124309976765e-05 -1.73595446601165e-06 0 3.22566241845593e-05
"2001-08-24" 0 -1.0875380063284e-05 6.72157486067273e-07 0 0 -3.21221946093434e-06 0 8.7609600808766e-07 -3.37713166274028e-07 0 3.39541743638107e-05
"2001-08-31" 0 -6.51488156519551e-06 -8.57966006493064e-08 0 0 -6.79742863333322e-06 0 -5.34878606191767e-07 -2.68979933017022e-06 0 -5.63435149790048e-05
"2001-09-07" 0 -5.13149156942595e-06 1.83026628039267e-09 0 0 -8.42459140013479e-05 0 -7.77300054858672e-05 2.41526011888714e-05 0 -5.79343876979608e-05
"2001-09-14" 0 -5.47786544658696e-05 9.04295232359509e-10 0 0 -1.72277041515071e-05 0 3.10988433611442e-06 2.94702382667535e-05 0 -0.000122148008771856
"2001-09-21" 0 0.00010313835961985 2.6350496894994e-08 0 0 2.0146665849797e-06 0 4.10814407413151e-06 -2.76389316836255e-05 0 -2.15872547897069e-06
"2001-09-28" 0 -2.00425893934489e-05 8.19881106048297e-09 0 0 -2.68196845215827e-06 0 1.09666046217236e-05 -1.77738644308156e-05 0 7.916581829448e-05
"2001-10-05" 0 -4.42541098452914e-06 -7.6623966467031e-09 0 0 -1.59847961629365e-05 0 2.62638659495678e-05 -4.97239115492857e-06 0 7.55201718897509e-05
"2001-10-12" 0 4.23729148300973e-06 -3.88668265188415e-09 0 0 2.53042691443294e-06 0 2.10965908301075e-05 1.14033187615978e-06 0 -3.03193678912572e-05
"2001-10-19" 0 -1.30122944219606e-05 4.93853086878261e-09 0 0 5.17942019900348e-07 0 6.73895334393587e-06 8.6610690530001e-07 0 -0.00033998393752539
"2001-10-26" 0 -2.83303807617083e-05 2.41148320505758e-08 0 0 7.71543763417443e-06 0 7.01166241424108e-05 2.31397407477823e-06 0 0.000676722261776844
"2001-11-02" 0 1.12057051074877e-05 6.15400392121858e-09 0 0 -2.06304804199904e-05 0 -6.48963694528998e-05 -1.60665805880218e-05 0 4.39677728377371e-05
